Target-ID	Compound-ID	Std-value
CHEMBL3650	CHEMBL383618	10.0
CHEMBL279	CHEMBL3678953	21.0
CHEMBL3430907	CHEMBL1090156	26.0
CHEMBL2996	CHEMBL565612	1.3
CHEMBL2148	CHEMBL3962931	5.0
CHEMBL1824	CHEMBL1630113	8.7
CHEMBL3616	CHEMBL306427	2.0
CHEMBL2185	CHEMBL463054	0.65
CHEMBL3629	CHEMBL3699293	1.44
CHEMBL3920	CHEMBL493999	11.0
CHEMBL4722	CHEMBL1098060	16.0
CHEMBL3038477	CHEMBL3936490	10.0
CHEMBL4523	CHEMBL3651931	6.0
CHEMBL2185	CHEMBL3675501	0.32
CHEMBL2996	CHEMBL1794808	5.0
CHEMBL2971	CHEMBL3645002	7.64
CHEMBL2147	CHEMBL2017342	9.0
CHEMBL3476	CHEMBL2164412	6.31
CHEMBL2850	CHEMBL317657	14.0
CHEMBL2208	CHEMBL1801381	5.0
CHEMBL1974	CHEMBL4066684	1.32
CHEMBL3650	CHEMBL3945159	0.7762
CHEMBL3038477	CHEMBL3915653	10.0
CHEMBL4142	CHEMBL3966316	20.89
CHEMBL3973	CHEMBL3975954	13.18
CHEMBL203	CHEMBL31419	3.6
CHEMBL2147	CHEMBL3966805	5.9
CHEMBL279	CHEMBL3775190	15.0
CHEMBL4282	CHEMBL520788	3.0
CHEMBL2208	CHEMBL1801373	10.0
CHEMBL4523	CHEMBL3966443	8.9
CHEMBL4501	CHEMBL3675499	11.0
CHEMBL203	CHEMBL4078182	20.6
CHEMBL4523	CHEMBL3691986	1.67
CHEMBL3629	CHEMBL3758777	17.0
CHEMBL4142	CHEMBL3889711	6.166
CHEMBL2185	CHEMBL3675323	6.2
CHEMBL1868	CHEMBL477772	10.0
CHEMBL3905	CHEMBL2336005	2.3
CHEMBL203	CHEMBL3805325	27.3
CHEMBL2637	CHEMBL3394125	17.0
CHEMBL2147	CHEMBL3393703	3.0
CHEMBL2599	CHEMBL3927937	2.0
CHEMBL2971	CHEMBL3116065	12.0
CHEMBL279	CHEMBL522601	18.0
CHEMBL4523	CHEMBL3394166	22.0
CHEMBL2971	CHEMBL231948	25.0
CHEMBL3629	CHEMBL3699263	8.54
CHEMBL4247	CHEMBL3824327	0.28
CHEMBL279	CHEMBL1202477	9.0
CHEMBL2147	CHEMBL3660069	0.96
CHEMBL2637	CHEMBL1923194	27.0
CHEMBL4247	CHEMBL2443026	10.0
CHEMBL4036	CHEMBL1241758	5.0
CHEMBL5408	CHEMBL3687129	6.0
CHEMBL2971	CHEMBL2035052	18.0
CHEMBL4523	CHEMBL3937248	16.0
CHEMBL4722	CHEMBL3944825	14.62
CHEMBL5407	CHEMBL3687476	0.73
CHEMBL2599	CHEMBL3940859	0.38
CHEMBL308	CHEMBL3644026	3.0
CHEMBL4501	CHEMBL3675489	9.5
CHEMBL279	CHEMBL327721	16.0
CHEMBL2147	CHEMBL3897690	2.28
CHEMBL4040	CHEMBL3298311	3.0
CHEMBL279	CHEMBL3987037	5.0
CHEMBL1907600	CHEMBL301226	25.0
CHEMBL4722	CHEMBL3680436	0.53
CHEMBL2363049	CHEMBL2035810	3.2
CHEMBL3629	CHEMBL3699304	23.09
CHEMBL3905	CHEMBL249317	1.0
CHEMBL4722	CHEMBL1270206	4.0
CHEMBL2095188	CHEMBL3335146	5.0
CHEMBL2971	CHEMBL3642354	11.41
CHEMBL3650	CHEMBL3901265	5.623
CHEMBL5407	CHEMBL3922724	7.02
CHEMBL2363049	CHEMBL3357637	3.77
CHEMBL2971	CHEMBL3652331	23.7
CHEMBL279	CHEMBL3983308	3.0
CHEMBL4203	CHEMBL3885335	22.0
CHEMBL4722	CHEMBL3675504	3.9
CHEMBL1844	CHEMBL3660757	8.6
CHEMBL3973	CHEMBL3918751	7.413
CHEMBL2147	CHEMBL3676283	1.0
CHEMBL2147	CHEMBL3660006	1.6
CHEMBL4816	CHEMBL2325728	18.0
CHEMBL2971	CHEMBL3652377	24.3
CHEMBL4722	CHEMBL3685212	11.0
CHEMBL4722	CHEMBL3680595	2.3
CHEMBL279	CHEMBL2022854	4.0
CHEMBL2148	CHEMBL3593779	0.78
CHEMBL1907601	CHEMBL3971523	9.5
CHEMBL4523	CHEMBL3967959	10.9
CHEMBL5407	CHEMBL3105022	1.0
CHEMBL203	CHEMBL3818062	1.98
CHEMBL4142	CHEMBL3976280	2.951
CHEMBL1957	CHEMBL459753	8.0
CHEMBL1957	CHEMBL3823016	6.17
CHEMBL1957	CHEMBL517947	1.0
CHEMBL2094126	CHEMBL187666	20.0
CHEMBL3920	CHEMBL606133	3.6
CHEMBL203	CHEMBL1630109	18.0
CHEMBL2147	CHEMBL3926862	0.6
CHEMBL2147	CHEMBL3393697	2.0
CHEMBL2041	CHEMBL3687194	0.95
CHEMBL331	CHEMBL3702063	7.0
CHEMBL4142	CHEMBL3950510	2.951
CHEMBL4179	CHEMBL2392833	20.0
CHEMBL279	CHEMBL3979830	5.0
CHEMBL3038477	CHEMBL3894485	10.0
CHEMBL2148	CHEMBL3642343	11.01
CHEMBL3650	CHEMBL3983387	2.754
CHEMBL3650	CHEMBL3985222	1.072
CHEMBL3038477	CHEMBL3940622	10.0
CHEMBL2842	CHEMBL1773728	1.0
CHEMBL2147	CHEMBL494354	13.0
CHEMBL4501	CHEMBL3890310	2.8
CHEMBL1907601	CHEMBL3237446	5.0
CHEMBL4282	CHEMBL470597	1.0
CHEMBL5408	CHEMBL3985522	15.0
CHEMBL3038477	CHEMBL3964887	10.0
CHEMBL4722	CHEMBL2380825	7.0
CHEMBL2147	CHEMBL3907991	4.0
CHEMBL5491	CHEMBL379975	11.0
CHEMBL4282	CHEMBL2177385	6.0
CHEMBL331	CHEMBL3642024	5.7
CHEMBL260	CHEMBL88486	5.0
CHEMBL1957	CHEMBL520144	0.91
CHEMBL3650	CHEMBL3939018	5.495
CHEMBL4523	CHEMBL3981805	13.4
CHEMBL260	CHEMBL252128	3.1
CHEMBL301	CHEMBL455657	2.0
CHEMBL2599	CHEMBL3893816	3.0
CHEMBL2148	CHEMBL3665163	1.0
CHEMBL2147	CHEMBL3691938	0.05
CHEMBL1907605	CHEMBL187903	26.0
CHEMBL1868	CHEMBL247228	7.762
CHEMBL279	CHEMBL408211	5.9
CHEMBL2147	CHEMBL3940091	0.07
CHEMBL3650	CHEMBL3906122	4.169
CHEMBL4523	CHEMBL3921064	6.5
CHEMBL2147	CHEMBL3691915	0.05
CHEMBL3529	CHEMBL3979910	15.0
CHEMBL3717	CHEMBL507058	10.0
CHEMBL203	CHEMBL3906533	4.4
CHEMBL1913	CHEMBL2023482	0.4
CHEMBL3973	CHEMBL3913492	7.413
CHEMBL4282	CHEMBL3927440	7.6
CHEMBL2996	CHEMBL2151410	6.2
CHEMBL4501	CHEMBL3890225	2.0
CHEMBL258	CHEMBL493986	19.0
CHEMBL2185	CHEMBL485186	9.5
CHEMBL2971	CHEMBL3979988	4.4
CHEMBL4937	CHEMBL3976515	9.8
CHEMBL2842	CHEMBL1241945	3.0
CHEMBL3234	CHEMBL1242657	25.0
CHEMBL2508	CHEMBL3698733	2.6
CHEMBL1844	CHEMBL4065970	10.1
CHEMBL2147	CHEMBL3957552	13.24
CHEMBL203	CHEMBL1092250	19.0
CHEMBL331	CHEMBL359554	12.0
CHEMBL3650	CHEMBL3974693	3.89
CHEMBL2996	CHEMBL52529	0.9
CHEMBL299	CHEMBL3968875	0.57
CHEMBL4142	CHEMBL3681293	28.0
CHEMBL2815	CHEMBL1794056	8.0
CHEMBL1824	CHEMBL597569	24.0
CHEMBL3234	CHEMBL288441	3.2
CHEMBL2147	CHEMBL3651981	1.0
CHEMBL4523	CHEMBL3651934	4.0
CHEMBL3650	CHEMBL3954396	1.778
CHEMBL4142	CHEMBL3983387	4.786
CHEMBL4523	CHEMBL3652025	5.0
CHEMBL2185	CHEMBL3680395	2.2
CHEMBL2147	CHEMBL3651922	1.0
CHEMBL3961	CHEMBL1938400	23.0
CHEMBL4501	CHEMBL3680414	26.0
CHEMBL279	CHEMBL445062	10.0
CHEMBL4142	CHEMBL3891816	14.13
CHEMBL1907601	CHEMBL3925525	11.0
CHEMBL3920	CHEMBL509448	10.6
CHEMBL2147	CHEMBL3901445	6.04
CHEMBL4523	CHEMBL3651961	7.0
CHEMBL279	CHEMBL3918564	0.3
CHEMBL2185	CHEMBL2163394	3.0
CHEMBL2147	CHEMBL3651948	1.0
CHEMBL4523	CHEMBL3889998	4.0
CHEMBL2828	CHEMBL3891165	7.7
CHEMBL4247	CHEMBL4111854	2.21
CHEMBL2971	CHEMBL21156	1.0
CHEMBL2148	CHEMBL3942728	0.055
CHEMBL2971	CHEMBL3622133	12.0
CHEMBL4501	CHEMBL3938454	1.0
CHEMBL5570	CHEMBL3086319	7.8
CHEMBL279	CHEMBL597596	11.0
CHEMBL4142	CHEMBL3935825	2.818
CHEMBL4722	CHEMBL1093265	13.0
CHEMBL203	CHEMBL255170	7.0
CHEMBL1907601	CHEMBL148995	7.0
CHEMBL3920	CHEMBL595521	2.2
CHEMBL2147	CHEMBL3660015	3.0
CHEMBL2148	CHEMBL3665142	0.00776
CHEMBL260	CHEMBL271154	6.0
CHEMBL2147	CHEMBL3918521	25.3
CHEMBL4523	CHEMBL2017329	9.0
